feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,30977,x,30977,x,31531,x,31531,x,-554,x,-554,x
ohne Wahlschein,19933,64.3,19933,64.3,23710,75.2,23710,75.2,-3777,-10.8,-3777,-10.8
mit Wahlschein,11044,35.7,11044,35.7,7821,24.8,7821,24.8,3223,10.8,3223,10.8
Wählende,21064,68,21064,68,22363,70.9,22363,70.9,-1299,-2.9,-1299,-2.9
darunter Briefwählende,9983,47.4,9983,47.4,7165,32,7165,32,2818,15.4,2818,15.4
Abgegebene Stimmen,21028,x,21043,x,22324,x,22333,x,-1296,x,-1290,x
Ungültige Stimmen,150,0.7,125,0.6,321,1.4,285,1.3,-171,-0.7,-160,-0.7
Gültige Stimmen,20878,99.3,20918,99.4,22003,98.6,22048,98.7,-1125,0.7,-1130,0.7
SPD,5030,24.1,4526,21.6,6591,30,5153,23.4,-1561,-5.9,-627,-1.7
CDU,6101,29.2,5773,27.6,5070,23,4242,19.2,1031,6.2,1531,8.4
GRÜNE,5355,25.6,5070,24.2,4353,19.8,4663,21.1,1002,5.9,407,3.1
DIE LINKE,1465,7,1788,8.5,1909,8.7,2139,9.7,-444,-1.7,-351,-1.2
AfD,887,4.2,912,4.4,1994,9.1,1985,9,-1107,-4.8,-1073,-4.6
FDP,1126,5.4,1462,7,2086,9.5,2512,11.4,-960,-4.1,-1050,-4.4
Die PARTEI,296,1.4,214,1,x,x,297,1.3,296,1.4,-83,-0.3
Tierschutzpartei,400,1.9,296,1.4,x,x,310,1.4,400,1.9,-14,0
PIRATEN,x,x,50,0.2,x,x,291,1.3,x,x,-241,-1.1
Graue Panther,x,x,61,0.3,x,x,144,0.7,x,x,-83,-0.4
NPD,x,x,3,0,x,x,39,0.2,x,x,-36,-0.2
Gesundheitsforschung,x,x,28,0.1,x,x,62,0.3,x,x,-34,-0.1
LKR,12,0.1,3,0,x,x,98,0.4,12,0.1,-95,-0.4
DKP,x,x,13,0.1,x,x,14,0.1,x,x,-1,0
SGP,x,x,9,0,x,x,9,0,x,x,x,x
BüSo,x,x,3,0,x,x,14,0.1,x,x,-11,0
B*,x,x,14,0.1,x,x,x,x,x,x,14,0.1
ÖDP,x,x,16,0.1,x,x,x,x,x,x,16,0.1
dieBasis,117,0.6,101,0.5,x,x,x,x,117,0.6,101,0.5
Bildet Berlin!,x,x,16,0.1,x,x,x,x,x,x,16,0.1
Deutsche Konservative,x,x,2,0,x,x,x,x,x,x,2,0
Die Grauen,x,x,46,0.2,x,x,x,x,x,x,46,0.2
Neue Demokraten,x,x,8,0,x,x,x,x,x,x,8,0
du.,x,x,39,0.2,x,x,x,x,x,x,39,0.2
BÜNDNIS21,x,x,9,0,x,x,x,x,x,x,9,0
FREIE WÄHLER,89,0.4,45,0.2,x,x,x,x,89,0.4,45,0.2
Klimaliste Berlin,x,x,36,0.2,x,x,x,x,x,x,36,0.2
MIETERPARTEI,x,x,29,0.1,x,x,x,x,x,x,29,0.1
Die Humanisten,x,x,47,0.2,x,x,x,x,x,x,47,0.2
Team Todenhöfer,x,x,50,0.2,x,x,x,x,x,x,50,0.2
Volt,x,x,249,1.2,x,x,x,x,x,x,249,1.2
Sonstige,x,x,x,x,x,x,76,0.3,x,x,x,x
