feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,28139,x,28139,x,30235,x,30235,x,-2096,x,-2096,x
ohne Wahlschein,20392,72.5,20392,72.5,24640,81.5,24640,81.5,-4248,-9,-4248,-9
mit Wahlschein,7747,27.5,7747,27.5,5595,18.5,5595,18.5,2152,9,2152,9
Wählende,15447,54.9,15447,54.9,18394,60.8,18394,60.8,-2947,-5.9,-2947,-5.9
darunter Briefwählende,6949,45,6949,45,5199,28.3,5199,28.3,1750,16.7,1750,16.7
Abgegebene Stimmen,15424,x,15429,x,18359,x,18381,x,-2935,x,-2952,x
Ungültige Stimmen,186,1.2,179,1.2,497,2.7,453,2.5,-311,-1.5,-274,-1.3
Gültige Stimmen,15238,98.8,15250,98.8,17862,97.3,17928,97.5,-2624,1.5,-2678,1.3
SPD,3476,22.8,3120,20.5,4656,26.1,4016,22.4,-1180,-3.3,-896,-1.9
CDU,5928,38.9,5798,38,5113,28.6,4664,26,815,10.3,1134,12
GRÜNE,1369,9,1454,9.5,1557,8.7,1537,8.6,-188,0.3,-83,1
DIE LINKE,772,5.1,824,5.4,1144,6.4,1186,6.6,-372,-1.3,-362,-1.2
AfD,2018,13.2,1979,13,3675,20.6,3441,19.2,-1657,-7.3,-1462,-6.2
FDP,585,3.8,601,3.9,1271,7.1,1175,6.6,-686,-3.3,-574,-2.6
Die PARTEI,222,1.5,177,1.2,x,x,211,1.2,222,1.5,-34,0
Tierschutzpartei,594,3.9,461,3,x,x,423,2.4,594,3.9,38,0.7
PIRATEN,x,x,57,0.4,446,2.5,246,1.4,-446,-2.5,-189,-1
Graue Panther,x,x,98,0.6,x,x,593,3.3,x,x,-495,-2.7
NPD,x,x,22,0.1,x,x,145,0.8,x,x,-123,-0.7
Gesundheitsforschung,x,x,36,0.2,x,x,81,0.5,x,x,-45,-0.2
LKR,x,x,3,0,x,x,86,0.5,x,x,-83,-0.5
DKP,x,x,8,0.1,x,x,16,0.1,x,x,-8,0
SGP,x,x,9,0.1,x,x,16,0.1,x,x,-7,0
BüSo,x,x,3,0,x,x,14,0.1,x,x,-11,-0.1
B*,x,x,5,0,x,x,x,x,x,x,5,0
ÖDP,x,x,20,0.1,x,x,x,x,x,x,20,0.1
dieBasis,115,0.8,78,0.5,x,x,x,x,115,0.8,78,0.5
Bildet Berlin!,x,x,20,0.1,x,x,x,x,x,x,20,0.1
Die Grauen,x,x,119,0.8,x,x,x,x,x,x,119,0.8
REP,x,x,6,0,x,x,x,x,x,x,6,0
du.,x,x,21,0.1,x,x,x,x,x,x,21,0.1
BÜNDNIS21,x,x,10,0.1,x,x,x,x,x,x,10,0.1
FREIE WÄHLER,159,1,56,0.4,x,x,x,x,159,1,56,0.4
Klimaliste Berlin,x,x,17,0.1,x,x,x,x,x,x,17,0.1
MIETERPARTEI,x,x,33,0.2,x,x,x,x,x,x,33,0.2
Die Humanisten,x,x,27,0.2,x,x,x,x,x,x,27,0.2
Team Todenhöfer,x,x,101,0.7,x,x,x,x,x,x,101,0.7
Volt,x,x,87,0.6,x,x,x,x,x,x,87,0.6
Sonstige,x,x,x,x,x,x,78,0.4,x,x,x,x
